country_name,country_code,region,income_group,year,gdp_usd,population,life_expectancy,unemployment_rate,co2_emissions_per_capita,access_to_electricity_pct,source_file,ingested_at
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,605916557421.0,45842679.0,76.4,7.84,4.06,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2013,63469775918.0,44102703.0,63.1,5.6,0.35,36.49,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2005,1039695373532.0,1146674626.0,64.8,7.73,1.17,67.62,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2006,5488714090063.0,127593505.0,82.0,5.19,9.61,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2005,216847555731.0,141243362.0,48.7,3.71,0.73,47.69,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2005,348735337054.0,39159410.0,74.7,11.02,4.26,96.94,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2004,16577026212.0,74779667.0,55.7,2.6,0.06,16.78,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2023,3486660743113.0,68417046.0,81.4,4.15,4.76,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,442592780261.0,44462345.0,76.3,9.53,4.12,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2016,2838052207259.0,65450167.0,80.9,5.43,6.3,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2005,2113430183935.0,60780996.0,79.2,652.0,8.92,99.81,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2020,420410072437.0,208336964.0,53.0,7.94,0.55,56.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2022,530623737852.0,71672649.0,77.0,1.03,3.78,99.73,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2010,2504053678480.0,62730416.0,80.2,8.62,7.82,99.99,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2008,296264452689.0,66336562.0,73.3,1.26,3.75,96.07,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2006,366439728287.0,39573038.0,74.9,10.09,4.01,96.8,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2016,5398247174491.0,127066317.0,83.9,3.4,8.87,99.65,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2004,481339869509.0,66822477.0,73.0,8.76,3.66,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2017,2602911549906.0,1350914680.0,69.7,6.3,1.72,91.61,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2013,405658680971.0,53496266.0,61.0,25.17,8.09,83.6,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,101242185546.0,68750438.0,68.4,8.63,1.85,98.19,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2013,2101344239487.0,201287303.0,74.1,9.31,2.21,98.85,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUS,East Asia & Pacific,High income,2014,1289258898115.0,23505624.0,82.3,5.28,16.4,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2008,398177335452.0,40412443.0,75.3,9.1,4.33,98.13,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2011,3530853568565.0,82013881.0,80.1,6.5,9.02,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
